Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
3.047170797544313636e+00,-2.870968081955672879e+00,9.277246199991376230e+00,4.045176882347607972e+00,-7.072243387000603398e+00,1.228107038961950614e+01,2.189182450310242345e+01,1.965079546048957848e+00,-1.037184044987454357e+01,-2.819126351359825478e+01,-1.167834379185652161e+01,4.231116365102840504e-01,-7.875775768159956058e+00,5.255712548502796011e+00,-5.604489611395377047e+00,1.586005321936026746e+01,-1.189803029617138108e+01,2.391199783454754701e+00,-9.645825595344184933e+00
-1.039984106240495620e+01,5.322326862649144452e+00,-2.523240565913368538e+00,-4.156738117376999497e+00,2.610711064101223777e-01,1.053365517798643403e+01,1.625632276639734197e+00,-1.873807714372739497e+01,7.074332764270836904e+00,-1.570708861009463853e+01,-3.798958497641924836e+00,6.503489685505499551e+00,-6.085810760593117763e+00,1.552246835512858780e+01,-9.325560246483085791e+00,9.386566856022907634e-01,-8.419092172470985957e+00,1.523060295702334166e+01,1.697552424773207846e+01
7.504511958064573385e+00,-1.194919104399956744e+00,-1.340816001363710042e+00,7.219933486858180594e+00,9.776701464987709755e+00,-6.096346065658493352e+00,-8.310760309340523122e+00,2.952694151655172128e+00,-1.130601624414765105e+01,1.741639109666097696e+01,-1.041850442725095505e+01,-2.574512580536218209e+01,-7.333744197020988231e+00,1.556474619189478492e+00,1.558251920786037559e+01,1.009034436552085801e+01,-2.918319353132175387e+00,1.739947472763352465e+01,1.493133744478249980e+01
9.405647163912139064e+00,-1.864373197755385547e+01,1.169814451419092904e+01,1.095029686412215320e+01,-5.411184020449537613e+00,-4.540084135607401983e+00,1.163233424979773289e+01,-1.645445344669735022e+01,-7.235296677498091356e+00,-9.594710800891656177e+00,-1.212800470790673879e+00,2.856847575655308002e-01,-7.434462409194352972e+00,1.256810774411963294e+01,7.806454987822179170e+00,1.948950511355411663e+01,-1.558426155389021872e+01,2.190611668976707449e+01,2.427875857416951533e+01
-1.951035188653836627e+01,-7.461205648984861050e+00,-7.771665891723031905e+00,-2.628652144820228465e+00,-4.209073303924880660e-01,-1.756068420772963634e+01,2.779454663400964254e+00,8.731977048161240873e+00,-1.104416448642232318e+01,-4.032905672866542446e+00,3.976877366546256010e+00,-1.236599711876613661e+01,6.791416983193064638e+00,1.802009611889330998e+01,-3.883620731595632147e+00,3.180053148272730823e+01,1.132306719074255597e+01,1.560853649086580042e+01,1.738942923938438412e+01
-1.302179506862318092e+01,-1.519399352558252403e+01,6.324177221309041030e+00,-1.027603157722529303e+01,-6.648937777702991880e+00,-2.055511690627862365e+01,-5.259630017698670557e+00,9.014720980926192340e+00,-4.584003312440752431e+00,-1.532313646883595726e-01,3.325994043981456372e+00,7.348484560613657735e+00,2.270222733240324864e+00,2.723688195891185870e+01,5.156619368452413088e-01,8.185036707165563641e+00,-6.928683126240717804e-01,1.985703823202265639e+01,3.418731494778381119e+01
1.278404031672853769e+00,2.440602259817677755e+00,-6.678831497875925116e+00,-1.457030602611539294e+01,2.455762854340868273e-01,7.636980516416375764e+00,-9.718919747402555487e+00,5.090085024360800903e-01,5.640582972874817358e+00,-1.648198175870822979e+01,2.471991819009843550e+00,3.129477801693473449e+00,-5.630225731034338210e+00,3.944331675910454038e+01,1.023875703235867363e+01,2.683394828489004880e+01,-1.138434033294932313e+01,2.806696822999328589e+01,3.051525857161620436e+01
-3.162425923435822295e+00,5.033173640541875216e+00,5.758766367523336704e+00,9.256884324602484782e+00,1.046678214477670821e+01,8.740416492432933282e+00,-4.058374033096385780e+00,8.168493547193040882e+00,2.698605186109663823e+00,1.043756228307726275e+01,-2.505072285275540267e+01,1.693971320224759225e+01,-1.053248902435159273e+01,2.204359057670076183e+01,-7.009075770809920058e+00,1.781780105509238155e+01,-6.050587374784035521e-01,2.787524105049038781e+01,1.600311017174456296e+01
-1.680115750428879673e-01,2.565482218541650372e+00,-3.911352507696586489e+00,-1.136566491707826820e+01,1.058968373694104459e+00,3.572098059635694156e+00,1.925812991049289380e+00,1.014206774481919560e+01,-8.137258790603178582e+00,-1.205483222370567153e+00,-4.728486514729469903e+00,1.495101833367669819e+01,-1.840799505885004350e-01,7.762875852064348159e+00,2.666116611236980294e+00,2.295006356612988085e+01,-9.135752363180349445e-02,2.760261330144047420e+01,2.451223035809940143e+01
-8.530439275735801630e+00,-7.874043932993874506e+00,-2.415491748556902962e+00,3.720242412023667455e+00,-3.574591945904208590e+00,1.872247485429162639e+00,8.955062908542979372e+00,1.095699205500170859e+00,1.894506319038547382e+00,-6.349395394599717690e+00,1.278857269063187196e+01,-6.026207645970424132e+00,-2.694800827337570315e+00,2.288398361573375617e+00,-1.910757124287555175e+00,1.842497646499056430e+01,4.888179143681290029e+00,1.115028913413537204e+01,2.758397196353210035e+01
8.793979748628286686e+00,2.468539291312162209e+00,8.201336575112772920e+00,7.774070684425159250e+00,-3.275669676853362744e-01,-7.061665821470794135e+00,2.841953391803885065e+00,-1.448883730387067859e+00,3.820976154350609999e+00,9.440112214139222857e+00,2.135894182413845499e+01,2.763171676561166024e+00,7.777748366250300194e+00,8.046880595153909965e+00,1.271659971363915886e+01,2.334720709766276059e+01,-1.226924363751544123e+00,1.516815263009229042e+01,1.119371423696027357e+01
